candidate_id,pattern_name,description,params,hold_days,split_count,train_sharpe,train_cagr,train_mdd,oos_sharpe,oos_cagr,oos_mdd,oos_avg_return,oos_hit_rate,oos_turnover,oos_num_trades,oos_consistency,train_range,test_range,market_filter_status,oos_short_avg_return,oos_long_avg_return,oos_short_hit_rate,oos_long_hit_rate,oos_short_long_return_gap,oos_short_long_hit_gap,oos_split_avg_return_std,oos_split_hit_rate_std,oos_patience_run,oos_patience_run_ratio,oos_ewma_return,oos_split_mdd,score
"ma_pullback|fast=10,pullback_pct=-0.05,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 60}",10,2,0.14094810235835084,-0.156676226077467,-0.9998473452915745,-0.1283615816031198,-0.23410664352292276,-0.9610367918317796,-0.00020181273935389234,0.4253263593767026,0.06720007855753404,26365.5,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.00020181273935389234,-0.00020181273935389234,0.4253263593767026,0.4253263593767026,0.0,0.0,0.00395357457038806,0.009777393100944222,1,0.5,0.0007300537235288035,0.0,-0.3511657858824091
"ma_pullback|fast=10,pullback_pct=-0.04,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 60}",10,2,0.17665118871226276,-0.11767828576206674,-0.999740979961287,-0.2824069595693677,-0.29167001612679133,-0.9593424586714658,-0.0006809898179388238,0.42501223375630287,0.08081219761584119,31707.0,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0006809898179388238,-0.0006809898179388238,0.42501223375630287,0.42501223375630287,0.0,0.0,0.00408821064952533,0.010954896883408692,1,0.5,0.00028261067312731645,0.0,-0.4604550349125518
"ma_pullback|fast=10,pullback_pct=-0.05,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 60}",5,2,-0.1402412379045983,-0.2274351704101898,-0.9930173685073536,-0.5331759134959759,-0.28497419585540634,-0.8719073877801269,-0.00024223322802504113,0.44152759205567305,0.06782669179260811,26611.5,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.00024223322802504113,-0.00024223322802504113,0.44152759205567305,0.44152759205567305,0.0,0.0,0.002142997806557795,0.0060114860459783105,1,0.5,0.0002628761990032636,0.0,-0.5397141445643655
"bb_width_breakout|band_k=2.0,lookback=20,width_q=0.15|hold=10",bb_width_breakout,Volatility contraction breakout,"{""band_k"": 2.0, ""lookback"": 20, ""width_q"": 0.15}",10,2,0.1455883544283798,-0.3956519539467948,-0.9999415386549442,-0.6584601051077922,-0.771541226907168,-0.9893804658929104,0.0007823115747217773,0.43826944806496576,0.003946666604319417,1549.0,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,0.0007823115747217773,0.0007823115747217773,0.43826944806496576,0.43826944806496576,0.0,0.0,0.0017456301542516002,0.020463480179357518,1,0.5,0.00037086260155010217,-0.0004520353447933223,-0.5919533868206572
"ma_pullback|fast=10,pullback_pct=-0.04,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 60}",5,2,-0.10425557850343432,-0.19394723596923896,-0.9908161899742889,-0.6836820878661171,-0.3227048335579898,-0.866360474511021,-0.0004884796049980594,0.4418635933678462,0.08161189460820989,32021.0,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0004884796049980594,-0.0004884796049980594,0.4418635933678462,0.4418635933678462,0.0,0.0,0.0020842183010115986,0.006182468180129239,1,0.5,2.775359708076042e-06,0.0,-0.6329688805670772
"ma_pullback|fast=10,pullback_pct=-0.05,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 120}",10,2,0.09705844098417338,-0.1879211821990482,-0.9998962697719586,-0.6001149251765403,-0.4657215493664962,-0.962715348192748,-0.0010664662788654263,0.4301690876008104,0.08084518710409497,31714.5,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0010664662788654263,-0.0010664662788654263,0.4301690876008104,0.4301690876008104,0.0,0.0,0.0030312075161927974,0.010209137757584644,1,0.5,-0.00035200381557090664,0.0,-0.6437127722118292
"ma_pullback|fast=10,pullback_pct=-0.03,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 60}",10,2,0.2776853803734788,-0.03281598794952251,-0.999672753002469,-0.5594375116452268,-0.3810299653130201,-0.9581290679396741,-0.0013255822432163924,0.42369373653549103,0.09402025973864034,36890.5,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0013255822432163924,-0.0013255822432163924,0.42369373653549103,0.42369373653549103,0.0,0.0,0.00443640827314806,0.01235332309035908,1,0.5,-0.0002799107851980279,0.0,-0.6446102708499297
"ma_pullback|fast=10,pullback_pct=-0.04,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 120}",10,2,0.10684923624235947,-0.16915542865050182,-0.9998851653021972,-0.6034637535974112,-0.4506817508072365,-0.9598661421665404,-0.0011155228757716625,0.4299466542481958,0.09492688226345453,37239.0,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0011155228757716625,-0.0011155228757716625,0.4299466542481958,0.4299466542481958,0.0,0.0,0.002959994807320119,0.010297898675904266,1,0.5,-0.0004178454089273214,0.0,-0.646092463124279
"ma_pullback|fast=10,pullback_pct=-0.03,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 120}",10,2,0.18777408330057432,-0.1052805959662626,-0.9998637871576909,-0.6984718424388027,-0.4627870743907575,-0.9562709321419279,-0.0013413438555145818,0.4284631513960817,0.10766172876452691,42235.5,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0013413438555145818,-0.0013413438555145818,0.4284631513960817,0.4284631513960817,0.0,0.0,0.003089562340109627,0.010495412408946586,1,0.5,-0.0006131270283178834,0.0,-0.707776623998503
"ma_pullback|fast=10,pullback_pct=-0.03,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 60}",5,2,-0.04745961041158779,-0.15711200705430967,-0.9894473525595612,-0.8401449856182256,-0.3536444245030528,-0.8597591426321214,-0.0007526000924003649,0.44145033609603374,0.09501968614394733,37283.0,0.5,2014-01-04..2022-01-03,2023-01-04..2025-01-03,disabled,-0.0007526000924003649,-0.0007526000924003649,0.44145033609603374,0.44145033609603374,0.0,0.0,0.0021107807318498538,0.005291232414606326,1,0.5,-0.00025508430270405327,0.0,-0.7282313387625676
