candidate_id,pattern_name,description,params,hold_days,split_count,train_sharpe,train_cagr,train_mdd,oos_sharpe,oos_cagr,oos_mdd,oos_avg_return,oos_hit_rate,oos_turnover,oos_num_trades,oos_consistency,train_range,test_range,market_filter_status,oos_short_avg_return,oos_long_avg_return,oos_short_hit_rate,oos_long_hit_rate,oos_short_long_return_gap,oos_short_long_hit_gap,oos_split_avg_return_std,oos_split_hit_rate_std,oos_patience_run,oos_patience_run_ratio,oos_ewma_return,oos_split_mdd,score
"donchian_volume_breakout|lookback=20,volume_mult=1.2,volume_window=20|hold=10",donchian_volume_breakout,Donchian breakout with volume confirmation,"{""lookback"": 20, ""volume_mult"": 1.2, ""volume_window"": 20}",10,16,0.7348890579880356,0.33651023084869025,-0.9970858007602788,0.807621512231704,1.9896844637011681,-0.908059717843118,0.004420245826788766,0.46688708475229457,0.023768745647998975,9388.375,0.75,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0027636124425924964,0.0044202458267887665,0.4270983907663543,0.4668870847522945,-0.007183858269381263,-0.039788693985940204,0.005601353938361601,0.029946985249037182,3,0.1875,-0.001443734362304566,-0.008271004917898561,0.4015598777071354
"ma_pullback|fast=20,pullback_pct=-0.04,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 20, ""pullback_pct"": -0.04, ""slow"": 60}",5,16,0.0694417886302871,-0.09584707155660116,-0.9649598819963316,-0.3160711760331957,-0.07021578415563526,-0.7883905305552293,-0.00044885555474603547,0.45879161460752,0.062408320826166666,24658.125,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0030425237972891896,-0.0004488555547460355,0.4342162195961909,0.45879161460751994,-0.0025936682425431543,-0.02457539501132905,0.0028502238289560343,0.018295207286039433,3,0.1875,-0.0013605836403427973,-0.01119386735240957,-0.3352868078033764
"bb_width_breakout|band_k=2.0,lookback=20,width_q=0.2|hold=5",bb_width_breakout,Volatility contraction breakout,"{""band_k"": 2.0, ""lookback"": 20, ""width_q"": 0.2}",5,16,-1.1670979003662467,-0.756118389703194,-0.9999414267431981,-1.3866769152901983,-0.6286975771450608,-0.931557083515738,-0.0026114199892611446,0.4253343113141432,0.00461206953915237,1821.5,0.1875,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.003144733054338697,-0.0026114199892611446,0.41621519235173365,0.4253343113141431,-0.0005333130650775524,-0.009119118962409467,0.003235491205525696,0.016811143360353883,6,0.375,-0.003613076548857596,-0.036212953462013586,-1.208509832981883
